Rank,County,State,County Effect on Household Income
91,Franklin,Idaho,21.60%
92,Le Sueur,Minnesota,21.40%
93,Emmet,Iowa,21.30%
94,Putnam,Ohio,21.20%
95,Custer,Nebraska,21.20%
96,Murray,Minnesota,21.10%
97,Kewaunee,Wisconsin,21.00%
98,Todd,Minnesota,21.00%
99,Bear Lake,Idaho,20.80%
100,Iowa,Iowa,20.80%
101,Seward,Nebraska,20.70%
102,Mitchell,Kansas,20.60%
103,Carver,Minnesota,20.60%
104,Calumet,Wisconsin,20.60%
105,Lyon,Minnesota,20.50%
106,Lake,South Dakota,20.50%
107,Antelope,Nebraska,20.50%
108,St Croix,Wisconsin,20.50%
109,Phelps,Nebraska,20.30%
110,Monroe,Illinois,20.30%
111,Jackson,Iowa,20.30%
112,Osage,Missouri,20.20%
113,Meeker,Minnesota,19.90%
114,Fairfax City,Virginia,19.90%
115,Pocahontas,Iowa,19.80%
116,Fayette,Iowa,19.70%
117,Red Willow,Nebraska,19.60%
118,McLeod,Minnesota,19.50%
119,Big Horn,Wyoming,19.40%
120,Garfield,Colorado,19.40%
121,Benton,Iowa,19.30%
122,Cherokee,Iowa,19.30%
123,Pecos,Texas,19.30%
124,Hamilton,Illinois,19.30%
125,Washington,Illinois,19.30%
126,Montague,Texas,19.30%
127,Walsh,North Dakota,19.30%
128,Poweshiek,Iowa,19.20%
129,Hamilton,Nebraska,19.20%
130,Hardin,Iowa,19.20%
131,Clay,Iowa,19.20%
132,Winnebago,Iowa,19.20%
133,Allamakee,Iowa,19.10%
134,Nicollet,Minnesota,19.10%
135,Cheyenne,Nebraska,19.10%
136,Poquoson City,Virginia,19.00%
137,Pierce,Wisconsin,19.00%
138,Polk,Minnesota,19.00%
139,Clinton,Illinois,18.90%
140,Millard,Utah,18.90%
141,Platte,Wyoming,18.80%
142,Keokuk,Iowa,18.70%
143,Kingfisher,Oklahoma,18.70%
144,Sweetwater,Wyoming,18.70%
145,Jefferson,Kansas,18.60%
146,Houston,Minnesota,18.60%
147,Box Elder,Utah,18.60%
148,Juab,Utah,18.60%
149,Madison,Iowa,18.50%
150,Harrison,Iowa,18.50%
151,Jones,Iowa,18.40%
152,Buena Vista,Iowa,18.40%
153,Mitchell,Iowa,18.40%
154,Caribou,Idaho,18.40%
155,Grant,South Dakota,18.30%
156,Pottawatomie,Kansas,18.30%
157,Wadena,Minnesota,18.30%
158,Stearns,Minnesota,18.30%
159,Marion,Kansas,18.30%
160,Sheridan,Wyoming,18.20%
161,Douglas,Minnesota,18.20%
162,Wright,Iowa,18.10%
163,Pembina,North Dakota,18.10%
164,Roseau,Minnesota,18.10%
165,Hamilton,Iowa,18.10%
166,Trempealeau,Wisconsin,18.10%
167,Cassia,Idaho,18.10%
168,Ellis,Kansas,18.00%
169,Benton,Minnesota,18.00%
170,Jackson,Minnesota,18.00%
171,Johnson,Texas,18.00%
172,Waseca,Minnesota,17.90%
173,McLean,North Dakota,17.90%
174,Buffalo,Wisconsin,17.90%
175,Chariton,Missouri,17.90%
176,Reeves,Texas,17.80%
177,Shelby,Iowa,17.60%
178,Wasatch,Utah,17.60%
179,Pennington,Minnesota,17.60%
180,Lincoln,Wyoming,17.50%
181,Dakota,Nebraska,17.50%
182,Yankton,South Dakota,17.50%
183,Uinta,Wyoming,17.40%
184,Coffey,Kansas,17.40%
185,Warren,Iowa,17.30%
186,Faribault,Minnesota,17.30%
187,Perry,Pennsylvania,17.30%
188,Jasper,Illinois,17.30%
189,Franklin,Iowa,17.20%
190,Perry,Missouri,17.10%
191,Box Butte,Nebraska,17.10%
192,Dodge,Minnesota,17.10%
193,Burt,Nebraska,17.10%
194,Nodaway,Missouri,17.00%
195,Gaines,Texas,17.00%
196,Iowa,Wisconsin,17.00%
197,Lucas,Iowa,16.90%
198,Carroll,Missouri,16.90%
199,Davison,South Dakota,16.80%
200,Douglas,Illinois,16.80%
201,Taylor,Wisconsin,16.70%
202,Ward,North Dakota,16.70%
203,Delta,Colorado,16.70%
204,Clay,Kansas,16.70%
205,Mercer,Ohio,16.70%
206,Pratt,Kansas,16.50%
207,Morrison,Minnesota,16.50%
208,Kandiyohi,Minnesota,16.50%
209,Ward,Texas,16.50%
210,Dunn,Wisconsin,16.50%
211,Piatt,Illinois,16.50%
212,Stutsman,North Dakota,16.40%
213,Natrona,Wyoming,16.40%
214,Gooding,Idaho,16.30%
215,Fillmore,Minnesota,16.30%
216,Scurry,Texas,16.30%
217,Jackson,Kansas,16.20%
218,Jones,Texas,16.20%
219,Green Lake,Wisconsin,16.10%
220,Tama,Iowa,16.10%
221,Linn,Missouri,16.10%
222,Custer,Montana,16.10%
223,Brown,South Dakota,16.00%
224,Goodhue,Minnesota,16.00%
225,Codington,South Dakota,16.00%
226,Gage,Nebraska,16.00%
227,Utah,Utah,16.00%
228,Dickenson,Virginia,15.90%
229,Ector,Texas,15.90%
230,Ottawa,Michigan,15.90%
231,Washington,Nebraska,15.90%
232,Beadle,South Dakota,15.90%
233,Madison,Nebraska,15.90%
234,Mahaska,Iowa,15.90%
235,Sevier,Utah,15.80%
236,Cooke,Texas,15.80%
237,Whitman,Washington,15.80%
238,Wright,Minnesota,15.80%
239,Texas,Oklahoma,15.70%
240,Van Buren,Iowa,15.70%
241,Brookings,South Dakota,15.60%
242,Portage,Wisconsin,15.60%
243,Anderson,Kansas,15.60%
244,Eagle,Colorado,15.60%
245,Richardson,Nebraska,15.60%
246,Sanders,Montana,15.50%
247,Meade,South Dakota,15.50%
248,Park,Wyoming,15.40%
249,Buffalo,Nebraska,15.40%
250,Union,Iowa,15.40%
251,Cass,Iowa,15.30%
252,Otter Tail,Minnesota,15.30%
253,Woodford,Illinois,15.30%
254,Sanpete,Utah,15.30%
255,Floyd,Iowa,15.30%
256,Clark,Wisconsin,15.30%
257,Woodward,Oklahoma,15.30%
258,Dickinson,Iowa,15.30%
259,Martin,Indiana,15.20%
260,Cloud,Kansas,15.20%
261,Brown,Kansas,15.10%
262,Dupage,Illinois,15.10%
263,Door,Wisconsin,15.10%
264,Montgomery,Iowa,15.00%
265,Dubuque,Iowa,15.00%
266,Manassas Park City,Virginia,15.00%
267,Greene,Iowa,15.00%
268,Holmes,Ohio,15.00%
269,Dawson,Nebraska,14.90%
270,Scott,Minnesota,14.90%
271,Barton,Kansas,14.90%
272,Cache,Utah,14.90%
273,Monona,Iowa,14.80%
274,Dodge,Nebraska,14.80%
275,Isanti,Minnesota,14.80%
276,Lee,Texas,14.70%
277,Marion,Iowa,14.70%
278,Washington,Minnesota,14.70%
279,Kendall,Illinois,14.70%
280,Butte,South Dakota,14.70%
281,Jasper,Indiana,14.70%
282,Mills,Iowa,14.60%
283,Benton,Indiana,14.60%
284,Lewis,New York,14.60%
285,Young,Texas,14.60%
286,Page,Iowa,14.50%
287,Shelby,Illinois,14.50%
288,Dakota,Minnesota,14.50%
289,Wells,Indiana,14.50%
290,Fulton,Pennsylvania,14.50%
291,Hockley,Texas,14.50%
292,Clay,Minnesota,14.50%
293,Jo Daviess,Illinois,14.40%
294,Tolland,Connecticut,14.40%
295,Guthrie,Iowa,14.40%
296,Chippewa,Wisconsin,14.40%
297,Kenai Peninsula,Alaska,14.40%
298,Snohomish,Washington,14.40%
299,Monroe,Ohio,14.30%
300,Grant,Wisconsin,14.20%
301,Burleigh,North Dakota,14.20%
302,Bergen,New Jersey,14.10%
303,Spencer,Indiana,14.10%
304,Buchanan,Virginia,14.10%
305,Ozaukee,Wisconsin,14.10%
306,Juniata,Pennsylvania,14.00%
307,Lawrence,South Dakota,14.00%
308,Jefferson,Colorado,14.00%
309,Cumberland,Pennsylvania,14.00%
310,Carbon,Wyoming,13.90%
311,Otoe,Nebraska,13.90%
312,Rusk,Wisconsin,13.90%
313,Midland,Texas,13.80%
314,Sullivan,Indiana,13.80%
315,Atchison,Kansas,13.80%
316,Medina,Ohio,13.80%
317,Lewis,Missouri,13.80%
318,Franklin,Arkansas,13.70%
319,Ripley,Indiana,13.70%
320,Hendricks,Indiana,13.70%
321,Effingham,Illinois,13.70%
322,Callahan,Texas,13.60%
323,Minidoka,Idaho,13.60%
324,Somerset,Pennsylvania,13.60%
325,Henry,Iowa,13.60%
326,Conejos,Colorado,13.60%
327,Fountain,Indiana,13.60%
328,Martin,Minnesota,13.60%
329,Madison,Idaho,13.60%
330,Louisa,Iowa,13.60%
331,Mesa,Colorado,13.50%
332,Livingston,Illinois,13.50%
333,Bates,Missouri,13.50%
334,Carbon,Utah,13.50%
335,Polk,Wisconsin,13.40%
336,Chisago,Minnesota,13.40%
337,Wyandot,Ohio,13.40%
338,Hancock,Illinois,13.40%
339,Humboldt,Nevada,13.40%
340,Caldwell,Missouri,13.30%
341,Custer,Oklahoma,13.30%
342,McClain,Oklahoma,13.30%
343,Wayne,Illinois,13.30%
344,Wood,Texas,13.30%
345,Bucks,Pennsylvania,13.30%
346,Dodge,Wisconsin,13.30%
347,McPherson,Kansas,13.30%
348,Boone,West Virginia,13.30%
349,Freeborn,Minnesota,13.30%
350,Outagamie,Wisconsin,13.20%
351,Erath,Texas,13.20%
352,Idaho,Idaho,13.20%
353,Adams,Washington,13.20%
354,Lebanon,Pennsylvania,13.20%
355,San Juan,Utah,13.10%
356,Montgomery,Missouri,13.10%
357,Andrew,Missouri,13.10%
358,Mower,Minnesota,13.10%
359,Garvin,Oklahoma,13.10%
360,Vernon,Wisconsin,13.10%
361,Franklin,Kansas,13.10%
362,Tipton,Indiana,13.10%
363,Olmsted,Minnesota,13.00%
364,Weld,Colorado,13.00%
365,Bedford,Pennsylvania,13.00%
366,Iroquois,Illinois,13.00%
367,Wyoming,West Virginia,12.90%
368,Lea,New Mexico,12.90%
369,Daviess,Indiana,12.90%
370,Ramsey,North Dakota,12.90%
371,Marshall,Illinois,12.90%
372,Marathon,Wisconsin,12.90%
373,Rice,Kansas,12.80%
374,Haskell,Oklahoma,12.80%
375,Fond du Lac,Wisconsin,12.80%
376,La Salle,Louisiana,12.80%
377,Fergus,Montana,12.80%
378,Keith,Nebraska,12.70%
379,Wyoming,New York,12.70%
380,Cass,North Dakota,12.70%
381,Waushara,Wisconsin,12.70%
382,Colusa,California,12.70%
383,Cumberland,Illinois,12.70%
384,Waukesha,Wisconsin,12.70%
385,Anoka,Minnesota,12.70%
386,Jefferson,Idaho,12.60%
387,Jefferson,Wisconsin,12.60%
388,Russell,Virginia,12.60%
389,Fremont,Idaho,12.60%
390,Noble,Ohio,12.60%
391,Jerome,Idaho,12.60%
392,White,Arkansas,12.50%
393,Dickinson,Kansas,12.50%
394,Aitkin,Minnesota,12.50%
395,Watonwan,Minnesota,12.50%
396,Monroe,Missouri,12.40%
397,Dallas,Iowa,12.40%
398,Routt,Colorado,12.40%
399,Wise,Texas,12.40%
400,Sarpy,Nebraska,12.40%
401,Waupaca,Wisconsin,12.40%
402,Morgan,Colorado,12.40%
403,Juneau,Wisconsin,12.40%
404,Huron,Michigan,12.40%
405,Snyder,Pennsylvania,12.30%
406,Eastland,Texas,12.30%
407,Pike,Illinois,12.30%
408,Hancock,Kentucky,12.30%
409,Steele,Minnesota,12.30%
410,Monroe,Wisconsin,12.30%
411,Lincoln,Oklahoma,12.20%
412,Moniteau,Missouri,12.20%
413,Lincoln,Wisconsin,12.20%
414,Union,Pennsylvania,12.20%
415,Lavaca,Texas,12.20%
416,Contra Costa,California,12.10%
417,Perry,Indiana,12.10%
418,Davis,Utah,12.10%
419,Fairfax,Virginia,12.10%
420,Cass,Nebraska,12.10%
421,Mercer,Illinois,12.00%
422,Story,Iowa,12.00%
423,Teton,Wyoming,12.00%
424,Manitowoc,Wisconsin,12.00%
425,Latah,Idaho,12.00%
426,Goshen,Wyoming,12.00%
427,Clarion,Pennsylvania,12.00%
428,Canadian,Oklahoma,12.00%
429,Gem,Idaho,12.00%
430,Preston,West Virginia,11.90%
431,Posey,Indiana,11.90%
432,Putnam,New York,11.80%
433,Sherburne,Minnesota,11.80%
434,Greene,Illinois,11.80%
435,New Kent,Virginia,11.80%
436,Wood,Wisconsin,11.80%
437,Webster,Kentucky,11.80%
438,Henry,Ohio,11.80%
439,Tooele,Utah,11.80%
440,Winona,Minnesota,11.70%
441,Sumner,Kansas,11.70%
442,Rice,Minnesota,11.60%
443,Marquette,Wisconsin,11.60%
444,Oconto,Wisconsin,11.60%
445,Jasper,Iowa,11.60%
446,La Plata,Colorado,11.50%
447,Wayne,Pennsylvania,11.50%
448,Marinette,Wisconsin,11.50%
449,Washoe,Nevada,11.50%
450,Wilson,Kansas,11.50%
451,Kanabec,Minnesota,11.50%
452,Butler,Pennsylvania,11.50%
453,Hunterdon,New Jersey,11.50%
454,Harvey,Kansas,11.40%
455,Logan,Colorado,11.40%
456,Green,Wisconsin,11.40%
457,Neosho,Kansas,11.40%
458,Hutchinson,Texas,11.40%
459,Langlade,Wisconsin,11.40%
460,Pine,Minnesota,11.40%
461,Osage,Kansas,11.40%
462,Mille Lacs,Minnesota,11.30%
463,Clearwater,Minnesota,11.30%
464,Live Oak,Texas,11.30%
465,King,Washington,11.30%
466,Atoka,Oklahoma,11.30%
467,Stephens,Oklahoma,11.30%
468,Barton,Missouri,11.30%
469,Lincoln,Washington,11.30%
470,Richland,Wisconsin,11.30%
471,Minnehaha,South Dakota,11.30%
472,Arlington,Virginia,11.20%
473,Eau Claire,Wisconsin,11.20%
474,Duval,Texas,11.20%
475,Kiowa,Oklahoma,11.10%
476,Fayette,Texas,11.10%
477,Elbert,Colorado,11.10%
478,Las Animas,Colorado,11.10%
479,Elko,Nevada,11.10%
480,Los Alamos,New Mexico,11.10%
481,Randall,Texas,11.10%
482,Lincoln,Nebraska,11.10%
483,Auglaize,Ohio,11.00%
484,Montgomery,Illinois,11.00%
485,Union,Oregon,11.00%
486,Columbia,Wisconsin,11.00%
487,Carroll,Illinois,11.00%
488,Becker,Minnesota,11.00%
489,Jefferson,Pennsylvania,11.00%
490,Hill,Texas,10.90%
491,Bingham,Idaho,10.90%
492,Miami,Kansas,10.90%
493,Ste Genevieve,Missouri,10.90%
494,Howard,Missouri,10.90%
495,Crawford,Wisconsin,10.90%
496,Moultrie,Illinois,10.90%
497,Cambria,Pennsylvania,10.90%
498,Twin Falls,Idaho,10.90%
499,El Dorado,California,10.80%
500,Ray,Missouri,10.80%
501,Paulding,Ohio,10.80%
502,Norfolk,Massachusetts,10.80%
503,Clinton,Iowa,10.80%
504,Price,Wisconsin,10.80%
505,Vermilion,Louisiana,10.80%
506,Appanoose,Iowa,10.70%
507,Fulton,Ohio,10.70%
508,Lawrence,Arkansas,10.70%
509,Upshur,Texas,10.70%
510,Fayette,Georgia,10.70%
511,Fayette,Illinois,10.70%
512,Whitley,Indiana,10.70%
513,Zapata,Texas,10.70%
514,Hardin,Texas,10.60%
515,Elk,Pennsylvania,10.60%
516,Randolph,Indiana,10.60%
517,Gillespie,Texas,10.60%
518,Stoddard,Missouri,10.60%
519,Seneca,Ohio,10.60%
520,Rockingham,New Hampshire,10.60%
521,Rockwall,Texas,10.50%
522,Montgomery,Maryland,10.50%
523,Potter,Pennsylvania,10.50%
524,White,Illinois,10.50%
525,Cerro Gordo,Iowa,10.40%
526,Seward,Kansas,10.40%
527,Gray,Texas,10.40%
528,Pike,Indiana,10.40%
529,Indiana,Pennsylvania,10.30%
530,Cass,Missouri,10.30%
531,Shawano,Wisconsin,10.30%
532,Bosque,Texas,10.30%
533,Panola,Texas,10.30%
534,Van Zandt,Texas,10.30%
535,Newton,Indiana,10.30%
536,Pushmataha,Oklahoma,10.20%
537,Grant,Arkansas,10.20%
538,Marshall,West Virginia,10.20%
539,Breckinridge,Kentucky,10.20%
540,Cole,Missouri,10.20%
541,Moore,Texas,10.20%
542,Le Flore,Oklahoma,10.20%
543,Hall,Nebraska,10.20%
544,Matanuska-Susitna,Alaska,10.20%
545,Iron,Missouri,10.10%
546,Palo Pinto,Texas,10.10%
547,Ford,Kansas,10.10%
548,Blue Earth,Minnesota,10.10%
549,Jefferson,Montana,10.10%
550,Forest,Wisconsin,10.10%
551,Tuscarawas,Ohio,10.10%
552,Placer,California,10.10%
553,Hamilton,Indiana,10.10%
554,Grundy,Missouri,10.10%
555,Madison,Missouri,10.10%
556,Baker,Oregon,10.00%
557,Knox,Ohio,10.00%
558,Shelby,Ohio,10.00%
559,Adams,Nebraska,10.00%
560,Koochiching,Minnesota,10.00%
561,White,Indiana,10.00%
562,Comanche,Texas,10.00%
563,Clay,Arkansas,9.90%
564,Bollinger,Missouri,9.90%
565,Logan,Oklahoma,9.90%
566,Washburn,Wisconsin,9.90%
567,Fremont,Colorado,9.80%
568,Jersey,Illinois,9.80%
569,Murray,Oklahoma,9.80%
570,Payne,Oklahoma,9.80%
571,Franklin,Pennsylvania,9.80%
572,Wayne,Missouri,9.80%
573,Washington,Idaho,9.80%
574,Boulder,Colorado,9.80%
575,Craig,Oklahoma,9.70%
576,Itasca,Minnesota,9.70%
577,Montezuma,Colorado,9.70%
578,Lincoln,West Virginia,9.70%
579,Warren,Ohio,9.70%
580,Boone,Iowa,9.70%
581,Washakie,Wyoming,9.70%
582,Gasconade,Missouri,9.60%
583,Macon,Missouri,9.60%
584,Bullitt,Kentucky,9.60%
585,Grant,West Virginia,9.50%
586,Washington,Iowa,9.50%
587,Prowers,Colorado,9.50%
588,Colonial Heights City,Virginia,9.50%
589,Hood,Texas,9.50%
590,Dent,Missouri,9.50%
591,Marshall,Oklahoma,9.40%
592,Hubbard,Minnesota,9.40%
593,Okmulgee,Oklahoma,9.40%
594,Bonneville,Idaho,9.40%
595,Washington,Kentucky,9.40%
596,Weber,Utah,9.40%
597,Barron,Wisconsin,9.40%
598,Napa,California,9.30%
599,Rogers,Oklahoma,9.30%
600,Cannon,Tennessee,9.30%
601,Clinton,Michigan,9.30%
602,Mayes,Oklahoma,9.30%
603,Pawnee,Oklahoma,9.30%
604,Chesterfield,Virginia,9.30%
605,Hughes,South Dakota,9.30%
606,Upshur,West Virginia,9.30%
607,Runnels,Texas,9.20%
608,Larue,Kentucky,9.20%
609,Cooper,Missouri,9.20%
610,Gibson,Indiana,9.10%
611,Shenandoah,Virginia,9.10%
612,Stark,Illinois,9.10%
613,Parmer,Texas,9.10%
614,Castro,Texas,9.10%
615,Smith,Texas,9.10%
616,Oldham,Kentucky,9.00%
617,Columbia,Oregon,9.00%
618,McLean,Kentucky,9.00%
619,Washington,Pennsylvania,9.00%
620,Tioga,Pennsylvania,9.00%
621,Grand Forks,North Dakota,9.00%
622,Missaukee,Michigan,8.90%
623,Roane,West Virginia,8.90%
624,Ogle,Illinois,8.90%
625,Grant,Washington,8.90%
626,Adams,Indiana,8.90%
627,Spokane,Washington,8.90%
628,Platte,Missouri,8.90%
629,Shoshone,Idaho,8.90%
630,Cleburne,Alabama,8.90%
631,Lampasas,Texas,8.90%
632,Cowley,Kansas,8.80%
633,Parker,Texas,8.80%
634,Lassen,California,8.70%
635,DeKalb,Alabama,8.70%
636,Lincoln,Missouri,8.70%
637,Matagorda,Texas,8.70%
638,Brown,Wisconsin,8.70%
639,McDonough,Illinois,8.70%
640,Randolph,Illinois,8.70%
641,Boundary,Idaho,8.70%
642,Bureau,Illinois,8.70%
643,Allegany,New York,8.60%
644,Martin,Kentucky,8.60%
645,Middlesex,New Jersey,8.60%
646,Nassau,Florida,8.60%
647,Clearfield,Pennsylvania,8.60%
648,Chester,Pennsylvania,8.60%
649,Washington,Oregon,8.60%
650,Floyd,Virginia,8.60%
651,Pope,Arkansas,8.50%
652,Fairfield,Ohio,8.50%
653,Darke,Ohio,8.50%
654,Schuylkill,Pennsylvania,8.50%
655,Freestone,Texas,8.50%
656,Beauregard,Louisiana,8.50%
657,Pike,Kentucky,8.50%
658,Richland,Illinois,8.50%
659,Scotts Bluff,Nebraska,8.40%
660,Decatur,Indiana,8.40%
661,Eddy,New Mexico,8.40%
662,Lewis And Clark,Montana,8.40%
663,Garfield,Oklahoma,8.40%
664,Strafford,New Hampshire,8.40%
665,Columbia,Pennsylvania,8.40%
666,Frederick,Maryland,8.40%
667,Howard,Maryland,8.40%
668,Carroll,Ohio,8.40%
669,Roanoke,Virginia,8.30%
670,Jackson,Kentucky,8.30%
671,Anderson,Kentucky,8.30%
672,Barbour,West Virginia,8.30%
673,Greene,Pennsylvania,8.30%
674,Pottawattamie,Iowa,8.30%
675,Wyoming,Pennsylvania,8.30%
676,Pulaski,Indiana,8.30%
677,Scott,Arkansas,8.20%
678,Park,Montana,8.20%
679,Livingston,Missouri,8.20%
680,Williams,Ohio,8.20%
681,Washington,Wisconsin,8.20%
682,Crawford,Pennsylvania,8.20%
683,Lyon,Nevada,8.10%
684,Schoolcraft,Michigan,8.10%
685,Rockingham,Virginia,8.10%
686,Monroe,West Virginia,8.10%
687,Lincoln,Montana,8.10%
688,Leslie,Kentucky,8.10%
689,Mingo,West Virginia,8.10%
690,Orange,Texas,8.10%
691,Sauk,Wisconsin,8.10%
692,Huntingdon,Pennsylvania,8.00%
693,Barry,Missouri,8.00%
694,Laramie,Wyoming,8.00%
695,Marshall,Iowa,8.00%
696,Albany,Wyoming,7.90%
697,Cameron,Texas,7.90%
698,Clinton,Missouri,7.90%
699,Nowata,Oklahoma,7.90%
700,Douglas,Colorado,7.90%
701,Sanilac,Michigan,7.90%
702,Stafford,Virginia,7.90%
703,Wayne,Ohio,7.90%
704,Kodiak Island,Alaska,7.90%
705,Montgomery,Pennsylvania,7.90%
706,Fulton,Indiana,7.90%
707,Coos,New Hampshire,7.80%
708,Labette,Kansas,7.80%
709,Wabash,Illinois,7.80%
710,Marshall,Indiana,7.80%
711,Washington,Utah,7.80%
712,Ford,Illinois,7.80%
713,Grady,Oklahoma,7.80%
714,Lewis,West Virginia,7.80%
715,Loudoun,Virginia,7.80%
716,Johnson,Illinois,7.70%
717,Menominee,Michigan,7.70%
718,Clay,West Virginia,7.70%
719,Bradford,Pennsylvania,7.70%
720,Starke,Indiana,7.70%
721,Yellowstone,Montana,7.70%
722,Dallas,Missouri,7.70%
723,Sutter,California,7.70%
724,Carroll,Maryland,7.70%
725,Union,Kentucky,7.70%
726,Huron,Ohio,7.70%
727,Ravalli,Montana,7.70%
728,York,Maine,7.70%
729,Lamb,Texas,7.60%
730,Harrison,Indiana,7.60%
731,Jackson,Wisconsin,7.60%
732,Sheboygan,Wisconsin,7.60%
733,Orange,Vermont,7.60%
734,Defiance,Ohio,7.60%
735,Lawrence,Missouri,7.60%
736,Cass,Illinois,7.60%
737,Ashland,Ohio,7.60%
738,Sussex,New Jersey,7.50%
739,Adams,Pennsylvania,7.50%
740,Meade,Kentucky,7.50%
741,Allen,Kansas,7.50%
742,Cleburne,Arkansas,7.50%
743,Henry,Illinois,7.50%
744,Gallatin,Montana,7.50%
745,Harrisonburg City,Virginia,7.40%
746,Reno,Kansas,7.40%
747,Fannin,Texas,7.40%
748,Prince George,Virginia,7.40%
749,Bristol,Rhode Island,7.40%
750,Ventura,California,7.40%
751,Benton,Missouri,7.40%
752,Westmoreland,Pennsylvania,7.40%
753,Iron,Utah,7.40%
754,Shelby,Texas,7.40%
755,Rusk,Texas,7.40%
756,Centre,Pennsylvania,7.40%
757,Crawford,Illinois,7.30%
758,Henry,Missouri,7.30%
759,Chaffee,Colorado,7.30%
760,Saline,Illinois,7.30%
761,Greene,Indiana,7.30%
762,Benewah,Idaho,7.30%
763,Jackson,Indiana,7.30%
764,Madison,Ohio,7.30%
765,Franklin,Missouri,7.30%
766,Hopkins,Texas,7.30%
767,Mountrail,North Dakota,7.20%
768,Colorado,Texas,7.20%
769,Botetourt,Virginia,7.20%
770,Montrose,Colorado,7.20%
771,Otsego,New York,7.20%
772,Hughes,Oklahoma,7.20%
773,Menard,Illinois,7.20%
774,Nolan,Texas,7.20%
775,Cedar,Missouri,7.20%
776,Christian,Missouri,7.20%
777,Austin,Texas,7.20%
778,Randolph,Arkansas,7.20%
779,Deschutes,Oregon,7.10%
780,Kitsap,Washington,7.10%
781,Audrain,Missouri,7.10%
782,Pontotoc,Oklahoma,7.10%
783,Torrance,New Mexico,7.10%
784,Warren,Pennsylvania,7.10%
785,Lake,Ohio,7.10%
786,Blaine,Oklahoma,7.10%
787,Christian,Illinois,7.10%
788,Carroll,Indiana,7.00%
789,Walworth,Wisconsin,7.00%
790,Holmes,Florida,7.00%
791,Finney,Kansas,7.00%
792,Leon,Texas,7.00%
793,Creek,Oklahoma,7.00%
794,Bastrop,Texas,7.00%
795,Deer Lodge,Montana,7.00%
796,Parke,Indiana,7.00%
797,Howard,Texas,6.90%
798,Northumberland,Pennsylvania,6.90%
799,Montgomery,New York,6.90%
800,Winnebago,Wisconsin,6.90%
801,Hood River,Oregon,6.90%
802,Sequoyah,Oklahoma,6.90%
803,Porter,Indiana,6.80%
